White_Unified_Name,Black_Sex,PlyCount,RatingDiff,Opening,IsAggressive
"Kumic, Filip",M,116,-179,"English Opening: Anglo-Indian Defense, King's Knight Variation",False
"Beerdsen, Thomas",M,152,20,Caro-Kann Defense: Bronstein-Larsen Variation,False
smurf42,M,60,-82,Trompowsky Attack: Classical Defense,True
smurf42,M,118,-86,Queen's Pawn Game: Chigorin Variation,False
smurf42,M,44,-97,Queen's Pawn Game: Chigorin Variation,False
smurf42,M,48,-55,Trompowsky Attack,True
smurf42,M,92,-47,Benoni Defense: Old Benoni,False
smurf42,M,60,9,Modern Defense,False
Seppo,M,96,-207,Queen's Pawn Game: London System,False
Seppo,M,84,-181,Caro-Kann Defense: Exchange Variation,False
"Kumic, Filip",M,64,-123,Queen's Gambit Accepted: Mannheim Variation,True
Chop-That-Wood,M,36,-316,"Queen's Gambit Accepted: Central Variation, McDonnell Defense",True
"Hirneise, Jens",M,126,17,Ruy Lopez: Berlin Defense #2,False
"Plichta, Kamil",M,58,216,Semi-Slav Defense,False
"Lewtak, Damian",M,46,-173,Indian Game: Tartakower Attack,True
"Lewtak, Damian",M,50,-202,"Pterodactyl Defense: Western, Rhamphorhynchus",False
"Plichta, Kamil",M,30,215,Sicilian Defense: Snyder Variation,True
"Lewtak, Damian",M,56,-173,Modern Defense,False
Papasimakopoulos Alexandros,M,104,-173,Slav Defense: Exchange Variation,False
Seppo,M,90,-37,Indian Game: London System,False
"Plichta, Kamil",M,74,117,French Defense: Two Knights Variation,False
"Lewtak, Damian",M,114,-81,Modern Defense,False
"Plichta, Kamil",M,70,102,"Queen's Pawn Game: Veresov Attack, Fianchetto Defense",True
"Lewtak, Damian",M,62,-69,Modern Defense,False
"Lewtak, Damian",M,110,-83,Pirc Defense #5,False
"Lewtak, Damian",M,88,-120,Italian Game: Two Knights Defense,False
Chop-That-Wood,M,82,-86,Bogo-Indian Defense: Gruenfeld Variation,False
smurf42,M,116,162,Richter-Veresov Attack,True
Seppo,M,118,-226,"Vienna Game: Vienna Gambit, Steinitz Gambit, Knight Variation",True
Seppo,M,76,-250,Indian Game: London System,False
Seppo,M,52,-271,"Italian Game: Classical Variation, Giuoco Pianissimo",False
Seppo,M,66,-291,Indian Game: London System,False
smurf42,M,32,205,Trompowsky Attack,True
smurf42,M,92,-141,Trompowsky Attack: Classical Defense,True
smurf42,M,74,-173,Trompowsky Attack: Classical Defense,True
Spinaltap,M,84,239,Zukertort Opening: Pirc Invitation,False
Horacio Pereyra,M,82,39,Scotch Game: Benima Defense,False
pashpash,M,90,-206,"Sicilian Defense: Accelerated Dragon, Modern Variation",True
pashpash,M,100,-233,"Sicilian Defense: Accelerated Dragon, Modern Variation",True
smurf42,M,48,-165,"Trompowsky Attack: Classical Defense, Big Center Variation",True
smurf42,M,44,-123,Caro-Kann Defense,False
"Crispin Ferreras, Darvi Abraham",M,126,-181,"Sicilian Defense: Accelerated Dragon, Modern Bc4 Variation",True
"Crispin Ferreras, Darvi Abraham",M,70,-499,"Caro-Kann Defense: Panov Attack, Fianchetto Defense, Fianchetto Gambit",True
Papasimakopoulos Alexandros,M,134,-324,Queen's Gambit Accepted: Janowski-Larsen Variation,True
"Zografos, Achilleas",M,92,-115,King's Pawn Game: Maroczy Defense,False
"Nogueira, Ivan Kuhlmann",M,74,-335,French Defense: Paulsen Variation,False
topce,M,22,-129,Pirc Defense #2,False
topce,M,86,-143,Zukertort Opening: Kingside Fianchetto,False
topce,M,82,-155,Pirc Defense,False
Евгений Тараненко,M,10,-391,Van Geet Opening,False
Евгений Тараненко,M,68,-404,Van Geet Opening,False
Евгений Тараненко,M,96,-416,Anderssen Opening,False
Jorge Sepúlveda,M,146,108,Alekhine Defense: Exchange Variation,False
Kabeljaukrieger,M,72,34,Scandinavian Defense: Gubinsky-Melts Defense,False
Евгений Тараненко,M,102,-220,Van Geet Opening: Battambang Variation,False
Chop-That-Wood,M,66,-265,"Queen's Indian Defense: Kasparov-Petrosian Variation, Andersson Variation",False
Chop-That-Wood,M,96,-251,Queen's Indian Accelerated,False
Chop-That-Wood,M,40,-270,"Queen's Gambit Accepted: Central Variation, McDonnell Defense",True
Dr. Norbert Barth,M,46,-40,"Sicilian Defense: Accelerated Dragon, Modern Bc4 Variation",True
Dr. Norbert Barth,M,102,-53,Elephant Gambit,True
Dr. Norbert Barth,M,96,-89,Caro-Kann Defense: Advance Variation,False
"Velten, Paul",M,94,145,"Sicilian Defense: Nyezhmetdinov-Rossolimo Attack, Fianchetto Variation",True
"Tomb, Maroun",M,84,-111,"Ruy Lopez: Classical Variation, Central Variation",False
"Tomb, Maroun",M,68,-143,"English Opening: King's English Variation, Reversed Closed Sicilian",True
SzparuMen,M,68,-259,"Ruy Lopez: Classical Variation, Zukertort Gambit",True
"Okike, David",M,56,-87,"French Defense: Winawer Variation, Poisoned Pawn Variation",False
"Wisniacki, Flavio",M,56,-298,"English Opening: Anglo-Indian Defense, King's Knight Variation",False
"Korobkin, Maxim",M,60,104,"Benoni Defense: Modern Variation, Snake Variation",False
dawtonlms,M,86,-289,King's Indian Attack,True
Vicente Fernando Azúa Ávila,M,42,-95,Polish Opening: Zukertort System,False
gnejs,M,46,-30,Sicilian Defense: Lasker-Pelikan Variation,True
"Okike, David",M,58,-8,Sicilian Defense: Najdorf Variation,True
"Okike, David",M,126,-170,"Ruy Lopez: Classical Variation, Central Variation",False
FireonBoard,M,82,-153,Bishop's Opening,False
FireonBoard,M,52,5,Scotch Game,False
"Kuipers, Eelco",M,114,26,Bishop's Opening,False
smurf42,M,54,-84,Trompowsky Attack,True
sorito,M,44,-147,Mieses Opening: Reversed Rat,False
Mustafa Yelken,M,138,-223,Pirc Defense #2,False
"Wisniacki, Flavio",M,110,-187,"English Opening: Symmetrical Variation, Anti-Benoni Variation",False
Spinaltap,M,90,172,Bird Opening,False
Spinaltap,M,70,139,"King's Indian Defense: Saemisch Variation, Normal Defense",True
Mustafa Yelken,M,84,-17,"Sicilian Defense: Accelerated Dragon, Modern Bc4 Variation",True
Seppo,M,134,-195,Indian Game: London System,False
Tadeáš Baláček,M,72,-253,Queen's Gambit Accepted: Old Variation,True
Tadeáš Baláček,M,34,-272,Catalan Opening,False
"Kumic, Filip",M,52,-158,Sicilian Defense: Najdorf Variation,True
lovlas,M,58,276,Slav Defense: Modern,False
lovlas,M,70,264,English Opening: Symmetrical Variation,False
"Velten, Paul",M,162,245,Indian Game: Wade-Tartakower Defense,False
Víctor Mago,M,118,-304,Queen's Gambit Accepted: Janowski-Larsen Variation,True
Víctor Mago,M,112,-318,Queen's Gambit Accepted: Janowski-Larsen Variation,True
daorange,M,114,-109,Old Indian Defense: Two Knights Variation,False
"Okike, David",M,42,-231,Philidor Defense: Lion Variation,False
Mustafa Yelken,M,144,-69,"Sicilian Defense: Najdorf Variation, Adams Attack",True
"Tomb, Maroun",M,109,158,"Sicilian Defense: Kan Variation, Knight Variation",True
"Wisniacki, Flavio",M,95,28,"King's Indian Defense: Fianchetto Variation, Yugoslav Variation",True
blitzbullet,M,68,-84,"Ruy Lopez: Exchange Variation, Gligoric Variation",False
Евгений Тараненко,M,104,-186,Van Geet Opening,False
"Wisniacki, Flavio",M,64,-48,"King's Indian Defense: Fianchetto Variation, Yugoslav Variation",True
DonFulgenzio,M,102,161,"French Defense: Tarrasch Variation, Open System, Euwe-Keres Line",False
"FAWOLE, John Oyeyemi",M,84,-122,"Neo-Gruenfeld Defense: Classical Variation, Modern Defense",False
"Kumic, Filip",M,44,-305,Nimzo-Larsen Attack: Modern Variation #4,True
TreasureChess777,M,128,-94,Nimzo-Indian Defense: Classical Variation,False
Dr. Norbert Barth,M,98,-127,Sicilian Defense: Canal-Sokolsky Attack,True
Mustafa Yelken,M,166,-24,Alekhine Defense: Exchange Variation,False
Mustafa Yelken,M,48,-80,"French Defense: MacCutcheon Variation, Wolf Gambit",True
Mustafa Yelken,M,124,-103,"Sicilian Defense: Lasker-Pelikan Variation, Sveshnikov Variation, Chelyabinsk Variation",True
daorange,M,84,184,Benoni Defense: Modern Variation,False
"Okike, David",M,100,-184,Modern Defense: Standard Defense,False
SzparuMen,M,184,-268,"Sicilian Defense: Nyezhmetdinov-Rossolimo Attack, Fianchetto Variation",True
"Kuipers, Eelco",M,100,93,Torre Attack #2,True
smurf42,M,72,-88,Trompowsky Attack,True
SzparuMen,M,86,92,Ware Defense,False
Francisco,M,114,-61,Queen's Pawn,False
"Posthuma, Joshua",M,50,-122,Indian Game,False
MagicAndy,M,52,190,Slav Defense #2,False
"Beerdsen, Thomas",M,196,-44,"French Defense: Tarrasch Variation, Morozevich Variation",False
"Pourramezanali, Amirreza",M,76,105,"Caro-Kann Defense: Advance Variation, Tal Variation",False
"Pourramezanali, Amirreza",M,48,-12,Queen's Gambit Accepted: Janowski-Larsen Variation,True
"Pourramezanali, Amirreza",M,160,-64,Giuoco Piano,False
gus_fring,M,60,-73,Nimzo-Larsen Attack: English Variation,True
Horacio Pereyra,M,162,64,French Defense: Burn Variation,False
"Kuipers, Eelco",M,58,-68,Sicilian Defense,True
"Kuipers, Eelco",M,68,192,Bishop's Opening,False
svenos,M,70,203,"Sicilian Defense: Dragon, Classical, Amsterdam Variation",True
svenos,M,66,169,Sicilian Defense: Classical Variation,True
Евгений Тараненко,M,24,-34,Anderssen Opening,False
Евгений Тараненко,M,72,-55,Anderssen Opening,False
Евгений Тараненко,M,110,-83,Anderssen Opening,False
"Wisniacki, Flavio",M,74,-76,"Sicilian Defense: Accelerated Dragon, Maroczy Bind, Breyer Variation",True
"Wisniacki, Flavio",M,102,-79,"Sicilian Defense: Accelerated Dragon, Maroczy Bind, Breyer Variation",True
Jorge Sepúlveda,M,86,131,"French Defense: Classical Variation, Tartakower Variation",False
blitzbullet,M,70,-194,Nimzo-Larsen Attack: Modern Variation #2,True
"Tomb, Maroun",M,168,54,"French Defense: Tarrasch Variation, Guimard Defense, Main Line",False
"Wisniacki, Flavio",M,86,-143,"English Opening: Symmetrical Variation, Mecking Variation",False
"Ali Marandi, Cemil Can",M,72,2,Zukertort Opening: Kingside Fianchetto,False
Mustafa Yelken,M,38,-195,Russian Game: Nimzowitsch Attack,True
Papasimakopoulos Alexandros,M,92,31,Slav Defense: Exchange Variation,False
smurf42,M,64,99,"French Defense: Classical Variation, Burn Variation, Morozevich Line",False
Mustafa Yelken,M,144,-71,Sicilian Defense: Scheveningen Variation,True
"Kuipers, Eelco",M,50,-116,Sicilian Defense: Mengarini Variation,True
"Petronijevic, Zoran",M,150,8,French Defense: Normal Variation,False
Daskevich,M,66,-13,"Sicilian Defense: Closed Variation, Traditional",True
Bárður Örn Birkisson,M,32,-165,Sicilian Defense: Scheveningen Variation,True
"Petronijevic, Zoran",M,94,-14,French Defense: Normal Variation,False
"Pourramezanali, Amirreza",M,90,39,Queen's Pawn Game: Chigorin Variation,False
"Petronijevic, Zoran",M,46,-11,Modern Defense: Pseudo-Austrian Attack,True
"Pourramezanali, Amirreza",M,54,35,Nimzo-Larsen Attack: Modern Variation #2,True
"Petronijevic, Zoran",M,90,-8,Modern Defense: Modern Pterodactyl,False
"Petronijevic, Zoran",M,80,-30,Robatsch (Modern) Defense,False
"Andersen, Gunnar",M,112,98,Slav Defense: Modern,False
Tadeáš Baláček,M,86,-102,"King's Indian Defense: Normal Variation, King's Knight Variation",True
Satscho,M,99,-51,"Sicilian Defense: Nyezhmetdinov-Rossolimo Attack, Fianchetto Variation",True
James Jackson,M,144,15,"Sicilian Defense: Accelerated Dragon, Maroczy Bind, Breyer Variation",True
Руслан Гнечко,M,152,-74,"King's Indian Defense: Normal Variation, King's Knight Variation",True
"Okike, David",M,124,-200,"French Defense: Rubinstein Variation, Fort Knox Variation",False
"Okike, David",M,130,16,"Sicilian Defense: Kan Variation, Modern Variation",True
"Okike, David",M,60,-26,"Sicilian Defense: Kan Variation, Modern Variation",True
"Okike, David",M,122,-42,"Sicilian Defense: Kan Variation, Modern Variation",True
"Wisniacki, Flavio",M,146,28,"English Opening: Anglo-Indian Defense, King's Indian Formation",True
"Okike, David",M,140,-6,"Sicilian Defense: Kan Variation, Modern Variation",True
"Okike, David",M,80,-24,"Sicilian Defense: Kan Variation, Modern Variation",True
"Wisniacki, Flavio",M,128,44,"English Opening: Anglo-Indian Defense, King's Indian Formation",True
"Wisniacki, Flavio",M,68,-1,"King's Indian Defense: Fianchetto Variation, Simagin Variation",True
"Wisniacki, Flavio",M,74,-77,"King's Indian Defense: Fianchetto Variation, Simagin Variation",True
Papasimakopoulos Alexandros,M,106,100,Semi-Slav Defense: Main Line,False
"Okike, David",M,92,-126,Philidor Defense: Lion Variation,False
"Wisniacki, Flavio",M,140,-291,Zukertort Opening: Pirc Invitation,False
"Korobkin, Maxim",M,118,298,Semi-Slav Defense,False
topce,M,50,-288,Queen's Gambit Accepted: Old Variation,True
topce,M,70,-303,Queen's Gambit Accepted: Old Variation,True
Oļģerts Indričāns,M,60,-97,Catalan Opening,False
"Hirneise, Jens",M,154,-99,Alekhine Defense: Exchange Variation,False
Maci,M,118,51,Budapest Defense: Rubinstein Variation,False
Maci,M,72,5,Indian Game,False
Francisco,M,52,-68,Pirc Defense: Classical Variation,False
Beletko,M,38,112,Sicilian Defense: Grand Prix Attack,True
"Wisniacki, Flavio",M,80,-79,"English Opening: Symmetrical Variation, Hedgehog Defense",False
Beletko,M,54,82,Sicilian Defense: Mengarini Variation,True
topce,M,94,-47,Mexican Defense,False
topce,M,80,-85,Mexican Defense,False
Francisco,M,106,-77,"Benoni Defense: Benoni-Indian Defense, Kingside Move Order",False
Francisco,M,112,-89,Dutch Defense,False
Gerardo Santopietro,M,38,-508,Queen's Gambit Accepted,True
topce,M,76,-440,Queen's Gambit Accepted: Old Variation,True
Beletko,M,80,-101,French Defense: Winawer Variation,False
"Aumont, Alexandre",M,30,-181,"Sicilian Defense: Accelerated Dragon, Modern Bc4 Variation",True
"Wisniacki, Flavio",M,56,-54,Catalan Opening: Closed Variation,False
"Wisniacki, Flavio",M,86,-90,"English Opening: Agincourt Defense, Neo-Catalan Declined",False
"Moroni, Luca Jr",M,50,116,Nimzo-Larsen Attack: English Variation,True
"Wisniacki, Flavio",M,38,-87,"Queen's Pawn Game: Symmetrical Variation, Pseudo-Catalan",False
"Wisniacki, Flavio",M,68,-119,Semi-Slav Defense,False
"Tomb, Maroun",M,90,61,Philidor Defense: Lion Variation,False
Beletko,M,64,9,Sicilian Defense: Grand Prix Attack,True
Beletko,M,64,-96,Sicilian Defense: Mengarini Variation,True
Beletko,M,90,50,"Pirc Defense: Classical Variation, Schlechter Variation",False
Beletko,M,100,45,"Pirc Defense: Austrian Attack, Kurajica Variation",True
Beletko,M,52,-191,Scandinavian Defense: Gubinsky-Melts Defense,False
Beletko,M,68,-212,Scandinavian Defense: Gubinsky-Melts Defense,False
Chop-That-Wood,M,116,-257,"King's Indian Defense: Normal Variation, Rare Defenses",True
Beletko,M,58,-129,Bishop's Opening,False
"Moroni, Luca Jr",M,66,-56,Dutch Defense: Leningrad Variation,False
"Caspi, Israel",M,74,75,"French Defense: Classical Variation, Steinitz Variation",False
Beletko,M,60,114,Sicilian Defense: Mengarini Variation,True
Евгений Тараненко,M,78,-65,Anderssen Opening,False
king_staz,M,108,-113,Rat Defense: English Rat,False
"Petronijevic, Zoran",M,66,2,Sicilian Defense: Alapin Variation,True
"Kumic, Filip",M,46,20,"Queen's Gambit Declined: Harrwitz Attack, Main Line",True
"Santagati, Alessandro",M,114,-89,"Sicilian Defense: Alapin Variation, Smith-Morra Declined",True
"Wisniacki, Flavio",M,74,-30,"English Opening: Symmetrical Variation, Anti-Benoni Variation",False
inga83,M,108,-125,Queen's Indian Defense: Kasparov Variation,False
inga83,M,132,71,Bogo-Indian Defense: Wade-Smyslov Variation,False
Beletko,M,68,-166,Sicilian Defense: Mengarini Variation,True
Beletko,M,54,-91,Scandinavian Defense: Gubinsky-Melts Defense,False
SzparuMen,M,34,-170,Scandinavian Defense: Gubinsky-Melts Defense,False
Horacio Pereyra,M,90,-66,Pirc Defense #2,False
Beletko,M,64,-174,Sicilian Defense: Mengarini Variation,True
"Sevgi, Volkan",M,62,29,Caro-Kann Defense: Two Knights Attack,True
"Kuipers, Eelco",M,42,-154,Sicilian Defense: Mengarini Variation,True
Spinaltap,M,98,136,Rat Defense: English Rat,False
is_er_nog_hoop,M,82,239,"Sicilian Defense: Nyezhmetdinov-Rossolimo Attack, Fianchetto Variation",True
is_er_nog_hoop,M,52,253,Polish Opening,False
is_er_nog_hoop,M,96,284,"Nimzo-Indian Defense: Classical Variation, Berlin Variation",False
topce,M,100,72,Sicilian Defense: Richter-Rauzer Variation,True
topce,M,76,64,"English Opening: King's English Variation, Reversed Closed Sicilian",True
is_er_nog_hoop,M,62,-40,Polish Opening: Dutch Defense,False
Oļģerts Indričāns,M,86,-120,Catalan Opening,False
smurf42,M,46,17,Trompowsky Attack,True
topce,M,112,-155,Indian Game: Tartakower Attack,True
Beletko,M,72,-91,Sicilian Defense: Mengarini Variation,True
Beletko,M,100,-131,Indian Game: Spielmann-Indian,False
Beletko,M,45,-112,"King's Gambit Declined, Classical Variation",True
Beletko,M,66,-133,Pirc Defense #2,False
r31415,M,42,-208,Scandinavian Defense: Gubinsky-Melts Defense,False
r31415,M,68,-185,Scandinavian Defense: Gubinsky-Melts Defense,False
r31415,M,102,-208,"Scandinavian Defense: Main Line, Mieses Variation",False
MAsTerhec,M,38,-39,Nimzo-Larsen Attack: Indian Variation,True
Horacio Pereyra,M,40,-3,"Sicilian Defense: Dragon Variation, Classical Variation, Normal Line",True
"Okike, David",M,68,-303,"Sicilian Defense: Richter-Rauzer, 6...e6",True
Mustafa Yelken,M,146,-125,Italian Game,False
Mustafa Yelken,M,74,-110,King's Pawn Game: Nimzowitsch Defense,False
Mustafa Yelken,M,130,-118,Indian Game: London System,False
Maci,M,46,-62,Gruenfeld Defense: Exchange Variation,False
Maci,M,50,-98,Mieses Opening,False
Maci,M,72,-171,Indian Game,False
smurf42,M,88,42,Trompowsky Attack: Classical Defense,True
DonFulgenzio,M,50,106,Philidor Defense #3,False
"Kumic, Filip",M,84,-136,Zukertort Opening: Sicilian Invitation,True
DonFulgenzio,M,56,-72,"French Defense: Tarrasch Variation, Open System, Euwe-Keres Line",False
Mustafa Yelken,M,132,-77,Nimzo-Indian Defense: Normal Line,False
"Sariego Figueredo, Wilfredo",M,118,-20,Modern Defense: Standard Defense,False
AMADAN,M,110,225,"Pirc Defense: Austrian Attack, Unzicker Attack",True
AMADAN,M,96,186,"French Defense: Tarrasch Variation, Guimard Defense, Main Line",False
"Okike, David",M,96,-101,Owen Defense,False
Dumit Semerene,M,98,-80,King's Indian Attack,True
inga83,M,148,-45,"Gruenfeld Defense: Exchange Variation, Modern Exchange Variation",False
G0DZILLA,M,96,281,English Opening: King's English Variation,False
"Plotkin, Mark",M,136,-132,"Sicilian Defense: Najdorf Variation, Adams Attack",True
Maci,M,58,-118,King's Indian Defense: Six Pawns Attack,True
Maci,M,76,77,Rat Defense: English Rat,False
Dumit Semerene,M,122,-194,"King's Indian Defense: Fianchetto Variation, Classical Fianchetto",True
topce,M,64,-261,King's Indian Defense: Normal Variation,True
opperwezen,M,62,199,King's Indian Attack,True
topce,M,68,-278,Alekhine Defense: John Tracy Gambit,True
Kabeljaukrieger,M,58,-133,"Alekhine Defense: Modern Variation, Larsen Variation",False
Kabeljaukrieger,M,66,-163,"King's Indian, Fianchetto, Classical Variation, 8.e4",True
"Sariego Figueredo, Wilfredo",M,54,-2,Modern Defense: Standard Defense,False
Kabeljaukrieger,M,86,-189,"King's Pawn Game: Tayler Opening, Inverted Hanham",False
Kabeljaukrieger,M,95,-214,"Alekhine Defense: Modern Variation, Larsen Variation",False
Kabeljaukrieger,M,28,-235,"Alekhine Defense: Modern Variation, Schmid Variation",False
is_er_nog_hoop,M,100,126,Sicilian Defense: Snyder Variation,True
Kabeljaukrieger,M,84,-231,Zukertort Opening: Double Fianchetto Attack,True
Kabeljaukrieger,M,54,-251,"King's Indian Defense: Semi-Classical Variation, Queenside Storm Line",True
"Kumic, Filip",M,74,-71,"Dutch Defense: Leningrad Variation, Warsaw Variation",False
Maci,M,164,102,Slav Defense: Quiet Variation,False
opperwezen,M,64,94,Zukertort Opening: Sicilian Invitation,True
Kabeljaukrieger,M,72,134,Slav Defense: Modern,False
Beletko,M,82,-318,English Opening: Anglo-Dutch Defense,False
Beletko,M,100,-75,English Opening: Caro-Kann Defensive System,False
Beletko,M,68,-64,Trompowsky Attack,True
Beletko,M,78,-55,Queen's Pawn Game: Morris Countergambit,False
Beletko,M,48,-90,Scandinavian Defense: Portuguese Variation,False
ZibbitVideos,M,116,140,Sicilian Defense: Snyder Variation,True
"Okike, David",M,48,-160,Sicilian Defense: Najdorf Variation,True
"Okike, David",M,62,-192,Sicilian Defense: Najdorf Variation,True
lovlas,M,108,200,Torre Attack #2,True
topce,M,96,-128,Catalan Opening: Closed Variation,False
topce,M,126,17,Queen's Gambit Declined: Charousek (Petrosian) Variation,True
topce,M,100,16,Semi-Slav Defense,False
Dumit Semerene,M,72,-132,King's Indian Attack,True
Toivo Keinänen,M,78,-151,English Opening: Anglo-Dutch Defense,False
Beletko,M,72,-76,Trompowsky Attack,True
Beletko,M,64,-119,"Queen's Gambit Refused: Chigorin Defense, Tartakower Gambit",True
Beletko,M,42,-126,Trompowsky Attack,True
topce,M,108,-129,Nimzo-Indian Defense: Kmoch Variation,False
G0DZILLA,M,90,84,English Opening: Great Snake Variation,False
Erottev,M,98,-8,Indian Game: Pyrenees Gambit,True
Евгений Тараненко,M,74,-121,Van Geet Opening: Battambang Variation,False
Евгений Тараненко,M,82,-73,Anderssen Opening,False
Horacio Pereyra,M,32,-245,"Queen's Pawn Game: Veresov Attack, Two Knights System, Gruenfeld Defense",True
smurf42,M,47,117,Trompowsky Attack,True
topce,M,52,-260,Slav Defense #2,False
alanford,M,106,-108,"Sicilian Defense: Najdorf Variation, Zagreb (Fianchetto) Variation",True
"Okike, David",M,90,-80,Sicilian Defense: Kalashnikov Variation,True
"Sariego Figueredo, Wilfredo",M,78,96,"Sicilian Defense: Nyezhmetdinov-Rossolimo Attack, Fianchetto Variation",True
Dr. Norbert Barth,M,87,26,Sicilian Defense: Alapin Variation,True
MAsTerhec,M,74,-104,Vienna Game: Max Lange Defense,False
"Okike, David",M,82,-106,Ruy Lopez: Berlin Defense #2,False
"Okike, David",M,104,-53,Scandinavian Defense: Marshall Variation,False
Евгений Тараненко,M,96,32,Van Geet Opening,False
Maci,M,88,78,Indian Game,False
Евгений Тараненко,M,122,-42,Van Geet Opening,False
Maci,M,68,-4,Old Benoni Defense #2,False
Maci,M,48,-2,Benoni Defense: Old Benoni,False
Dumit Semerene,M,92,-16,"King's Indian Defense: Fianchetto Variation, Classical Fianchetto",True
