username,id,title,name,country,bio,fide_rating,uscf_rating,ecf_rating,blitz_rating,blitz_prog,blitz_games,rapid_rating,rapid_prog,rapid_games,bullet_rating,classical_rating,url,verified
lekoSMA,lekosma,NM,Leandro Formes de Arruda,BR,"Olá, sou professor, técnico, árbitro e organizador de torneios de xadrez. Sou Mestre Nacional e já ganhei muitos torneios, jogo xadrez há 20 anos e dou aulas há 10 anos online e também presencial para alunos a partir de 4 anos de idade. Minhas aulas são personalizadas, didáticas e lúdicas. Para mais informações: +5515998260047",,,,1623,0,1,1500,0,0,2355,1500,,
QmK_lT000rks,qmk_lt000rks,FM,,,"play 1h 10$
for one-to-one lesson 20$
contact in lichess DM",,,,2455,-1,995,2457,97,14,2686,1500,,
Paradise2020,paradise2020,CM,,IN,,,,,2339,-63,2393,2137,90,38,2606,1751,,
Chessfrois,chessfrois,CM,Vítor Fróis,BR,1.e4!,2200.0,,,2182,-17,4091,2274,-27,106,2126,2180,,
rotaberg,rotaberg,IM,,PL,,2250.0,,,2453,-49,5623,2365,18,33,2452,1667,,
Buknoy,buknoy,NM,,_united-nations,"If you want to cheat, I will still play with you but tell me first that you are going to cheat.",1800.0,,,2525,-1,4677,2334,-62,40,2724,1500,,
gatopanzaarriba,gatopanzaarriba,FM,cosme fulanito,MX,,,,,2531,5,10167,1368,0,2,2779,2221,,
JeanLucMagritte,jeanlucmagritte,FM,,,,,,,2458,-32,551,1500,0,0,2582,1500,,
Stela28,stela28,WFM,,,,1845.0,,,1823,29,151,1749,171,16,1901,1500,,
Persivaal,persivaal,CM,Skhanyiso Persivaal Sihlongonyane,SZ,"Skhanyiso Persivaal Sihlongonyane

Facebook: Skhanyiso Persivaal Chess 
https://www.facebook.com/profile.php?id=100063522382620
Instagram: skhanyisopersivaal
Twitter: SPersivaal 
Email: skhanyisopersivaal@gmail.com",,,,2086,-31,4054,2137,33,459,1690,1747,,
TCF_Punisher,tcf_punisher,IM,Bindi Cheng,CA,,2395.0,,,2515,-48,2200,2601,2,218,2566,2417,,
Esssquire,esssquire,GM,Vladislav Kovalev,_belarus-wrw,"Приглашаю всех желающих в свою шахматную онлайн школу! 

I invite all people to my chess online school!

kovalevchess.com",2703.0,,,2732,10,2867,1500,0,0,3017,1500,,
Ferrum89,ferrum89,GM,Artem Chernobay,_earth,"Хирург, тренер.",2484.0,,,2659,-5,1367,2447,228,34,2578,1979,,
Azumilover,azumilover,GM,,PL,"@Yarebore  I am Available for lessons and training games at affordable rates just leave a DM here or email yarebore2003@gmail.com 
My coaching page : https://lichess.org/coach/Yarebore",,,,2924,-38,1693,1478,0,3,3011,1500,,
Mops2_2004,mops2_2004,IM,Dmitriy Kushko,IE,,2454.0,,,2690,5,8405,2684,114,33,2770,1500,,
mauroampie,mauroampie,FM,Vladislav Kasparov,RU,,,,,2451,-15,2792,1500,0,0,2781,1273,,
inhocsignovinces73,inhocsignovinces73,NM,,IT,,2079.0,,,2244,-16,5163,2438,35,49,2301,1381,,
Chaozu,chaozu,IM,James Jackson,GB,,,,,2454,2,18874,2419,-19,101,2343,2390,,
Penguin12356,penguin12356,IM,,IO,,,,,2583,-16,5032,2397,-50,45,2768,1500,,
Snappppp,snappppp,NM,Mustafa Yelken,TR,,,,,2416,6,5117,2516,33,807,2314,2216,,
Berserk2600,berserk2600,FM,Coach,ES,"Disponible 
https://lichess.org/coach/Berserk2600",2344.0,,,2655,6,1508,2234,0,5,3000,1500,,
SharkAnto55,sharkanto55,IM,Antonio Almiron,PY,"buenas! me llamo Antonio y soy maestro internacional, si necesitas unas clases me puedes contactar por skype como Sharksnake55 en facebook como Antonio Sebastian Almiron Villalba o con un mensaje directo aquí por lichess.",2325.0,,,2580,-10,4347,2231,233,93,2800,1500,,
dan_tes,dan_tes,FM,,AM,,,,,2469,-24,595,2232,0,11,2788,1748,,
AdamTaylor2301,adamtaylor2301,IM,Adam Taylor,GB-ENG,"23 year old England chess coach, International Master, founder and CEO of Makinggrandmasters.com",2342.0,,230.0,2364,-17,2498,2510,-44,230,2635,2359,,
Funo09,funo09,GM,,SK,Black best repertoire: Alekhine Defence and Dutch,2520.0,,,2792,-5,3463,2683,-15,489,3091,2440,,
koll6,koll6,CM,,,,,,,2342,1,1560,2474,5,2694,2698,1958,,
dereito,dereito,FM,Oscar Bruno de Prado Rodriguez,ES,,,,,2333,35,407,1289,0,5,2438,1676,,
ZibbitVideos,zibbitvideos,FM,,IS,,2367.0,,,2649,35,3544,2516,208,36,2766,1971,,
Fariasov,fariasov,CM,Sergio Farias,BR,"Sergio Farias 
CM FIDE",,,,2267,-5,15798,2389,9,208,2401,1500,,
PierrotFace,pierrotface,FM,,,,,,,2321,-147,477,1500,0,0,2452,1500,,
Masya1984,masya1984,GM,,,,,,,2607,5,2577,1500,0,0,2538,1500,,
Wraku89,wraku89,GM,,,,,,,2496,-11,1454,2471,33,313,2818,1542,,
KindaLoseer,kindaloseer,CM,,BG,,,,,2385,-28,1283,1500,0,0,2697,1500,,
domtichess,domtichess,GM,,,Be nice...that's it,1500.0,,,2646,-42,514,2702,58,13,2892,1500,,
CheckMateIn2,checkmatein2,FM,Adrian Fuentes,PA,,2110.0,,,2146,-116,1128,1346,0,1,2257,1500,,
wienermeasure,wienermeasure,CM,,,,,,,2302,-49,487,1500,0,0,2203,1500,,
TimIlyin,timilyin,IM,Timofey Ilyin,RU,"Ильин Тимофей Юрьевич
26.12.1984
ID FIDE: 14110180
Legendary master. Good luck!",2442.0,,,2432,-10,7345,2340,8,673,2699,2259,,
jusehebet,jusehebet,FM,Juan Herrera,CO,,2255.0,,,2532,-24,3374,2502,0,5,2603,1815,,
Vetranio,vetranio,GM,Timur Gareyev,AW,Good day!,2000.0,2001.0,1999.0,2515,3,1855,2299,-96,15,2762,2053,,
Gevorg_Harutjunyan,gevorg_harutjunyan,GM,,AM,,2380.0,2532.0,,2727,8,4818,2585,-78,36,2946,1500,,
guitargirl,guitargirl,WFM,Perpetual Ogbiyoyo,NG,Beware of the crazy guitar girl on fire🎸🔥🔥🔥🔥,1880.0,,,2242,15,10743,2360,114,296,2295,1500,,
Evgenyermolaev,evgenyermolaev,FM,Evgeny Ermolaev,RU,"Chess  is the second reality for me, a way to open another world:) The most favourite chess players M.Carlsen (too obviously) and G.Kasparov",2304.0,,,2445,-18,1832,2200,0,11,2720,2501,,
Dog_Stalemate,dog_stalemate,NM,Pablos Kolos,PL,National Master from Poland,2200.0,,,2391,13,1397,2262,37,64,2573,1500,,
kleyton80,kleyton80,NM,,,,,,,2135,0,8,1500,0,0,2233,1297,,
M_Onee,m_onee,FM,,,https://i.imgur.com/sxL3rLY.jpg,,,,2647,4,4825,2366,-3,20,2906,1500,,
datway,datway,NM,,,,,,,2349,26,1841,2231,27,71,2528,1500,,
haski_2014,haski_2014,WFM,Alisa Genrietta Yunker,RU,"https://i.imgur.com/gzYIFCY.jpg
https://i.imgur.com/DXvuy33.jpg https://i.imgur.com/IQUhUo3.jpg",2100.0,,,2578,12,1655,2246,-65,311,2554,2138,,
Rossinantes,rossinantes,FM,Росен Русев,BG,,2352.0,,,2355,-105,1074,1716,0,3,2662,1500,,
BV2006,bv2006,NM,Baziuk Vladyslav,UA,"Привіт, я Владислав Базюк, майстер спорту України з шахів. Займаюся шахами з дитинства, став чемпіоном України до 20 років та багаторазовим призером. Навчаю дітей і дорослих — від початківців до більш досвідчених гравців. Моя мета — розвивати логіку, стратегічне мислення та впевненість у кожному учні. Запрошую на індивідуальні уроки, де ми разом досягнемо високих результатів!",2247.0,,,2576,0,243,2043,0,3,2835,1500,,
Kombinattor01,kombinattor01,FM,Dávid Haszon,HU,"A friendly neighbourhood FIDE Master and chess coach from Siófok, Hungary. Good luck!

Videók rendszertelen időközönként: https://www.youtube.com/channel/UChcZ9YL36r5K7f6FHHaXRHA
Sakkoktatással kapcsolatban a legegyszerűbben a siosakk@gmail.com e-mail címen keresztül tudsz elérni.
Jó játékot!",2266.0,,,2351,-20,8673,2194,-13,1263,2669,1767,,
louis217,louis217,FM,Nghia Dong,VN,,2227.0,,212.0,2554,-14,503,1970,0,4,2534,1455,,
Oliver04,oliver04,FM,Oliver Wartiovaara,FI,,2355.0,,,2397,-19,1794,2592,195,113,2628,1500,,
MohamMad_AkbariGl,mohammad_akbarigl,FM,Surena,IR,Chess is life,2275.0,,,2569,-83,1197,2366,-90,103,2695,1500,,
AMADAN,amadan,FM,,IE,,,,,2410,32,3829,2182,-130,45,2669,1909,,
Mv17,mv17,IM,,NO,Join https://lichess.org/team/betlehem-sk,,,,2635,7,10172,2451,12,354,2959,2174,,
RakitinD,rakitind,FM,Daniil Rakitin,LV,"The Ambassador of the LG, var. 3...FXE4 https://t.me/fxe4latvian
https://lichess.org/team/fxe4",2422.0,,,2703,-7,748,2737,17,40,3201,1500,,
Leya__G,leya__g,WGM,Лея Гарифуллина,RU,,2357.0,,,2499,19,292,1828,0,2,2191,1500,,
Harshal-Shahi,harshal-shahi,FM,,,,,,,2232,74,38,2149,122,17,2191,2057,,
BorisNavrodskiy,borisnavrodskiy,FM,Boris Navrodskiy,TH,Hey there!,2172.0,,,2335,1,1655,1412,0,3,2501,1128,,
wannabe2700,wannabe2700,IM,vilka sipilä,,"https://giphy.com/gifs/internet-imgur-side-mJv90rnlwU9B6

Don't resign https://lichess.org/mUwsG7NY/white
https://lichess.org/uHDUGS3T/black#68",2402.0,,,2425,-20,7561,2648,26,431,2639,2392,,
pakarma,pakarma,FM,Marko Srebrnič,SI,,2400.0,,,2366,58,2960,1364,0,6,2481,1500,,
Kacparov,kacparov,IM,Kacper Drozdowski,PL,20.03.2024: Lichess top1 blitz (2969),2461.0,,,2864,-7,1502,2760,27,107,3148,2306,,
FlipSNOW,flipsnow,NM,,TH,NEED SOME HELP For Improvemnt,2123.0,2243.0,,2317,32,716,2487,71,26,2541,1500,,
piscatorox,piscatorox,CM,,,,,,,2340,-20,4169,2535,-19,480,2344,2343,,
warredw,warredw,FM,,BE,,,,,2504,-24,6370,2140,-14,60,2400,1599,,
fredmund,fredmund,NM,,,,,,,2264,-28,9778,2055,-84,159,2381,1805,,
chessm1105,chessm1105,GM,,,,,,,2740,-28,5118,2714,57,14,2864,2476,,
Chempiblinka,chempiblinka,WFM,Veronika Minina,_earth,,2057.0,,,2262,62,1794,1827,-616,18,2156,1612,,
KeFarokhi,kefarokhi,FM,,IR,,,,,2532,-3,6688,2585,21,469,2685,2182,,
gmgattass,gmgattass,FM,Allan Gattass,BR,MF,2238.0,,,2395,17,34119,2235,-65,132,2700,2050,,
david_alex,david_alex,CM,,EU,,,,,2455,11,1224,2194,371,42,2502,1926,,
KeyzerSose,keyzersose,GM,Pavel Eljanov,UA,,,,,2669,-10,296,2524,0,8,1500,1500,,
jesusitov,jesusitov,CM,,AT,"Odio el ajedrez
Odio los jugadores de d4
La odio
Fin de la lista de cosas que odio",,,,2022,-18,1823,1955,-11,119,2124,1639,,
ecwinslow,ecwinslow,IM,Elliott Winslow,US,IM March 1986,2150.0,2278.0,,2269,-42,152,1960,0,7,1590,1564,,
fawolizzo,fawolizzo,FM,John Oyeyemi Fawole,,Fawole John Oyeyemi is a Nigerian chess player. He won the Nigerian Chess championship in 2013 and has a FIDE peak rating of 2214. He held the title of Nigeria National Chess Champion (Junior and Open) in 2003 and 2013 respectively.,,,2343.0,2219,37,9238,2126,-72,67,2019,2072,,
SpartakMos,spartakmos,FM,Nikolay Kleimenov,RU,"My club https://lichess.org/team/spartakmos-fan-club
My Youtube channel https://www.youtube.com/channel/UCgC-9bTLyHir03Snop0U6QQ",2327.0,,,2536,28,6777,2477,149,89,2852,2073,,
DarkKnight8750,darkknight8750,CM,,,,,,,2486,-41,1106,2134,-47,98,2566,1744,,
Remontada_Reloaded,remontada_reloaded,IM,Aradhya Garg,IN,,2400.0,,,2658,7,492,2437,-7,32,2813,1714,,
williamyen,williamyen,NM,John Bob III,AQ,"It's cold here. My hands are slowly freezing. One day, I will lose my ability to premove.

While I still have life left in my hands though, will berserk and always berserk back.

UPDATE: Many years later, now an old man, retired from all forms of bullet.",1269.0,1320.0,,1908,-20,11848,2261,-23,304,2436,2472,,
Tabarex,tabarex,CM,Tabare Bustelo,UY,Aficionado al juego ciencia. Apenas un humilde CM.,2054.0,,,2094,-13,6190,2111,-50,25,2013,1500,,
N-Chadaev,n-chadaev,GM,Nikolay Chadaev,,"По всем вопросам, связанным с обучением, писать в личные сообщения или на почту: chadaevchess@gmail.com
Welcome to my website!
gmchadaev.ru",2591.0,,,2821,17,3149,1745,0,1,2902,1500,,
samrevita,samrevita,WFM,Samantha Glo Revita,PH,,1942.0,,,2312,-27,403,2166,121,39,2417,1500,,
Templarium,templarium,FM,Winston Cu-Hor,,,2362.0,2452.0,,2719,48,6379,1769,0,3,2922,1764,,
Tim-Grutter,tim-grutter,IM,Tim Grutter,NL,,,,,2660,17,2145,2436,130,52,2824,1765,,
FallacyofComposition,fallacyofcomposition,IM,Oscar Wilde,DE,,,,,2588,-3,7518,1500,0,0,2638,1500,,
TenzaSangetsu,tenzasangetsu,IM,Esteban Valderrama,CO,"http://ratings.fide.com/card.phtml?event=4442024
#1 Blitz and rapid in my country, national champion many times and i also like to play chess 960. 


https://imgur.com/tyHVQEB
https://imgur.com/Sjtmglh",2430.0,,,2673,-4,2640,2366,0,10,3124,1812,,
Navyblue12,navyblue12,WNM,,,,,,,2168,23,2712,2155,-37,1304,1793,1820,,
amiralfio,amiralfio,IM,,FR,,,,,2679,102,2132,1459,0,4,2720,1500,,
Zkid,zkid,GM,Steven Zierk,US,"American Grandmaster. Longtime chess player and coach. 2010 World Under 18 Champion. 

I stream simuls and more at twitch.tv/gmzierk.",,,,2864,0,1449,2817,6,58,2983,2031,,
Magners,magners,IM,,,,,,,2492,-15,1570,1888,0,6,2795,1975,,
dhfernandez,dhfernandez,GM,Daniel Fernandez,GB,"2025 Commonwealth Champion
2024 US National Open 2nd= 
Open to European leagues and new students. gm.df95@gmail.com
I give 1 mouseslip takeback per blitz game :)",2512.0,,2579.0,2694,-9,2921,2527,122,20,2954,2024,,
CharmFate006,charmfate006,WCM,,,,,,,2105,-89,113,2040,0,4,2223,1500,,
Midnight_Chess,midnight_chess,GM,Oskar Wieczorek,PL,"Grandmaster since 2019, active chess coach, chess commentator and enthusiast. I subscribe to the theory that a partner, a chess set and a clock are sufficient for happiness (or if you will: a computer, a mouse and a good connection to lichess.org). Check out my coaching profile: https://lichess.org/coach/Midnight_Chess.",,,,2805,59,3736,1500,0,0,2940,1500,,
GoughPhar,goughphar,NM,Braeden Hart,_earth,"Wing  Halloween  & Elephant  gambit aficionado.

Accepting challenges when I can! (casual/ non-rated please)

*Inactive* D:",,2268.0,,2426,-55,3674,1500,0,0,2284,1500,,
GoodGamerpro100,goodgamerpro100,FM,,,Intelligent,,,,2575,-5,3382,2514,126,157,2749,1500,,
labestia2017,labestia2017,FM,Daniel Perez,AR,"""El mayor reto de tu vida no es superar a alguien más, es superarte a ti mismo todos los días.""
https://youtube.com/channel/UCp5LubcYb7yiu558Rt6n8cg sigan nuestro canal de youtube de la Academia Ajedrez Lógico!!",2260.0,,,2697,15,11618,2582,39,752,2900,2501,,
Caclox,caclox,FM,Claudio Olivares,CL,,,,,2325,5,1243,1483,0,1,2413,1500,,
Efremov_Vlad,efremov_vlad,FM,Влад Ефремов,RU,"https://www.youtube.com/channel/UChATxcwtI6K00yfgDia4T3Q?view_as=subscriber  мой ютуб канал
https://zen.yandex.ru/id/5f3bdf88e7a64c4b0901b412  мой Дзен",2356.0,,,2362,39,1450,1755,0,1,2645,1500,,
lou2018,lou2018,CM,Mauricio Adasme Fredes,CL,,2024.0,,,2315,6,6920,1958,96,13,2249,1500,,
nanuka87,nanuka87,GM,,CU,,,,,2182,100,16,1500,0,0,2623,1500,,
Cacarlsen,cacarlsen,FM,,,,,,,2163,-113,8150,2059,0,10,2147,1230,,
The_Princess_Moon,the_princess_moon,WFM,Leancy B Fernandez Bustamante,ES,"Hola! Bienvenidos a mi perfil, soy Leancy Fernandez maestra fide desde hace más de 5 años, soy entrenadora de ajedrez con más de 5 años de experiencia.Autora del Método +100 : es un método que te garantiza que en 3 meses subes 100 puntos de elo. Mas info en el enlace de abajo.

https://imgur.com/a/IklRWy",2164.0,,,2340,13,3722,2260,53,67,2610,1500,,
BeepBeepImAJeep,beepbeepimajeep,IM,Beep Beep,,"I'm a jeep.

Retired.
|| Socials:
https://www.twitch.tv/beepbeepchess
https://www.youtube.com/channel/UCL7SKBY_qQBV2nW1mf-JCmA/",,,,3013,10,963,1500,0,0,3000,2357,,
Margarita2006,margarita2006,WFM,Margarita Zvereva,,,,,,2221,-26,1115,1500,0,0,2226,1500,,
SimonMatejka2,simonmatejka2,CM,Simon Matejka,SK,"Hi! My name is Simon and I am 13 years old.
My Club: https://lichess.org/team/simonmatejka--friends

CONTACT:
https://lichess.org/inbox/simonmatejka2
Email: simonmatejkacontact12@gmail.com
Discord: majk9",2001.0,,,2222,16,633,2221,-24,109,2630,2145,,
Twas-A-Trap,twas-a-trap,NM,,,,,,,2431,-7,2088,2590,179,36,2765,2178,,
avalongamemaster,avalongamemaster,GM,,FR,A fan of Mordred,,,,2953,13,136,2287,100,14,3188,2500,,True
Fighterman91,fighterman91,GM,pouria Darini,IR,"GM pouria darini

https://www.twitch.tv/fighterman99",2439.0,,,2674,71,1791,1500,0,0,2868,1500,,
zsolti_83,zsolti_83,FM,Zsolt Szilágyi,HU,,2331.0,,,2528,-29,7620,2105,-47,46,2726,1241,,
Hesian,hesian,FM,,TR,,,,,2575,37,713,2005,0,4,2590,1500,,
Heisenberg01,heisenberg01,FM,,TR,,,,,2901,4,2941,1500,0,0,3264,1500,,
ILDAR_ILDISOV-1966,ildar_ildisov-1966,FM,Ildar Idrisov,RU,"Мастер Фиде с 2001 года
ID4151020",2282.0,,,2336,44,2173,2101,38,19,2224,1500,,
KingVittorio,kingvittorio,NM,,IT,,,,,2616,37,8137,2301,21,1453,2484,2053,,
BreatEastonEllis,breateastonellis,CM,,AR,"I am a Chess Coach, FIDE Trainer. I coach students of all ages and skill levels. If you are thinking about lessons, I would be happy to setup a free 30 min lesson to discuss your strengths, weaknesses, study goals and craft a work plan. You can see legit reviews of my lessons in my coach profile (https://lichess.org/coach/borocotoajua00). Contact me if you want to start improving your chess!",,,,2644,39,1010,2114,0,3,2838,1500,,
Kimster98,kimster98,FM,András Dankházi,HU,,,,,2615,2,2464,2454,0,7,2851,1500,,
Davidsch04,davidsch04,FM,,,,,,,2600,31,4167,2562,-2,240,2680,1500,,
logozar,logozar,NM,Elijah Logozar,US,I offer lessons: https://bookme.name/chessknight,,2242.0,,2458,-14,553,2024,-72,154,2628,1868,,
AstanehChess,astanehchess,IM,Alex Astaneh,IE,"3-time Irish Champion & member of Olympiad team.

Author of 'The Positional Chess Patterns Manual' on Chessable -> https://www.chessable.com/the-positional-chess-patterns-manual/course/243952/

I also created a course on the Grunfeld, and co-authored one on the Scotch with WIM Fiona Steil-Antoni.

Not accepting students at the moment. For business enquiries: astanehchess@gmail.com",2431.0,,,2691,-30,3133,2462,-69,562,2816,2523,,
I_Hit_18K_on_BS,i_hit_18k_on_bs,CM,,,,,,,2133,28,66,1500,0,0,1888,2074,,
fettywap1738,fettywap1738,NM,Emmanuel Carter,US,,2100.0,2300.0,,2598,-9,4056,2420,-17,1002,2751,2160,,
HokutoNoKen7,hokutonoken7,FM,Alessio Viviani,IT,Available for lessons. Contact me if you are interested.,2268.0,,,2009,-12,4997,1875,0,11,1977,1500,,
Simplychess92,simplychess92,NM,Luca Albertini,IT,"Hi everybody! I'm Luca and that's all.

I've been playing chess since I was 9 years old. If you wanna know something else about me link to: https://lichess.org/coach/Simplychess92
My website:
https://chess360.netlify.app/

https://lichess.org/@/Simplychess92/blog
https://lichess.org/team/simplychess",,,,2444,-8,7059,2521,-90,171,2552,1938,,
BasilSmash,basilsmash,IM,Jonas Rosner,DE,,2443.0,,,2479,72,1060,2452,7,44,2474,1500,,
Morenoteambarrio,morenoteambarrio,IM,Pablo Nicolas Barrionuevo,AR,,2257.0,,,2339,-7,8279,2196,-264,16,2450,2163,,
NoMate4u,nomate4u,FM,,,,2247.0,,,2490,25,4401,2265,86,61,2560,2307,,
Ramu_Kandi,ramu_kandi,FM,Ramu Kandi,IN,"FIDE Master (2005)
FIDE Trainer (2019)
Peak Rating 2306
Playing experience: 30 years
Training/Coaching experience: 18 years",2113.0,,,2077,-25,343,1500,0,0,1829,1264,,
YuraGar,yuragar,CM,Garifulin Yury,RS,,2260.0,,,2503,36,2911,2431,-17,1253,2746,2186,,
etopak,etopak,FM,ENGİN TOPAK,TR,,,,,2545,-119,1621,2597,6,51,2783,1500,,
Steven_Rojas,steven_rojas,FM,Steven Rojas,PE,,,,,2486,12,6120,2480,-105,173,2920,2330,,
gnejs,gnejs,FM,,,,,,,2556,41,2252,1902,0,6,2901,1500,,
PArnaudov,parnaudov,GM,Petar Arnaudov,BG,"National Team Coach: Guided the Bulgarian Women’s National Team to gold at the 2023 European Team Chess Championship.

Player Development: Helped students achieve international titles, international medals, and title norms across multiple federations.

Trusted Educator: Co-founder of Modern Chess, a global platform providing advanced training to thousands of players worldwide.",,,,2549,-5,1569,2419,-76,91,2538,2019,,
Kuan1981,kuan1981,FM,куаныш сисабаев,KZ,мастер,2291.0,,,2448,-11,10088,2108,28,185,2611,1049,,
strawberry11,strawberry11,WIM,Vesal Hamedinia,IR,,,,,2420,27,3484,2217,373,21,2704,1500,,
Elito29,elito29,GM,Elier Miranda,CU,,2520.0,,,2602,-15,2595,2298,119,33,2763,1500,,
korn111,korn111,FM,Владимир,RU,,,,2365.0,2133,2,2356,2175,-127,476,2300,1979,,
Gettingold72,gettingold72,GM,,,,,,,2610,-26,13856,1779,-36,13,2219,1512,,
Petr_Mikhalchenko,petr_mikhalchenko,FM,Mikhalchenko Petr Alekseevich,RU,"Даю онлайн уроки 1500 час.
https://ratings.ruchess.ru/people/3896",2400.0,2400.0,,2505,13,9637,2512,35,382,2762,2001,,
Dr_Tiger,dr_tiger,GM,,,"Bullet mostly played on pad, occasionally on computer to grill myself with poor mouse ability.",,,,2882,-29,227,1500,0,0,3207,1500,,
Torvosaurus,torvosaurus,NM,Jorge Augusto,AR,,,,,2176,-7,991,1943,22,198,2432,1900,,
bolsiiiii,bolsiiiii,CM,,,,,,,2450,16,728,2253,-146,39,2704,2167,,
Tashik,tashik,GM,Natalia Zhukova,UA,GM,,,,2294,-42,123,2340,0,9,2341,1500,,
Levi_1604,levi_1604,IM,,AQ,,,,,2433,13,663,2475,29,97,2643,1500,,
PishgamChessClub,pishgamchessclub,FM,,,"Available For training games and lessons 
Send a massage for more information",,,,2473,-13,68,1500,0,0,2813,1500,,
toivok3,toivok3,IM,Toivo Keinänen,,,2503.0,,,2752,39,4089,2447,-57,267,3114,1500,,
KrstAlex,krstalex,IM,Alex Krstulovic,HU,"Former European champion of 2011 under 8 years. International Master, Peak rating of 2453, participated in the 2024 Budapest Chess Olympiad. Looking for teams in Europe.

For coaching, message privately.",2453.0,,,2553,26,355,2390,18,17,2946,1500,,
Reecef,reecef,CM,,,,,,,2116,-92,527,2049,110,20,2085,1500,,
kreonx,kreonx,FM,Pawel Dudzinski,PL,"My website: www.centrumszachowe.pl, www.centrumbiznesowe.info.",,,,2447,28,618,2134,-2,40,2687,1749,,
arnikka89,arnikka89,FM,,,,,,,2514,-53,3050,1500,0,0,2694,1500,,
T_Candidatos_2025,t_candidatos_2025,IM,,,,,,,2496,3,955,1500,0,0,2600,1500,,
pergell,pergell,FM,László Pergel,HU,,2237.0,,,2020,9,485,1300,0,6,2292,1346,,
Andreiistra,andreiistra,GM,Andrei Istratescu,RO,"Born on the 3rd of December 1975, I am an open-minded person, chess helped me broaden my horizons and made me discover the world.
Sicilian is my favourite opening, I like all kinds of board games, my favourite players were Karpov, Capablanca, Alekhine, Fischer, Kasparov and now Carlsen.",2546.0,,,2693,24,3736,1500,0,0,2328,1500,,
havishjesuit123,havishjesuit123,FM,Havish Sripada,,,,,,2239,141,20,1500,0,0,2458,1500,,
Kavaliro,kavaliro,CM,Rustem Gorbenko,UA,Chess coach and tournament organizer,2209.0,,,2414,26,3708,2458,-40,206,2569,2108,,
chiyabuddha,chiyabuddha,WGM,,,,,,,2575,-15,1296,2327,192,29,2855,1500,,
Chesssplayer21,chesssplayer21,GM,Platon Galperin,UA,"Chess coach/Тренер по шахматам https://lichess.org/coach/Chesssplayer21 also available for training games & solid offers to play for the teams. Email: platon.galperin@gmail.com - feel free to write me ""Chess is a complicated game - you don’t want it to be easy, you want to be good""",,,,2769,15,1599,2513,0,5,3145,1770,,
Ramdon35000,ramdon35000,NM,,CR,,2106.0,,,2168,-10,27480,2129,104,1952,2011,2153,,
erezkup,erezkup,FM,Pablo,,,,,,2287,-27,9116,2002,-121,56,2694,1500,,
chessbasebrasil,chessbasebrasil,NM,Pablo Alejandro Acosta,AR,"Sou Mestre Nacional, FIDE Trainer (treinador de xadrez desde 2001) e Arena Grand Master.
Trabalho como jornalista de chessbase espanhol.  

https://www.instagram.com/prof.pabloalejandro/

https://pabloalejandroacosta.com.br/

https://lichess.org/coach/chessbasebrasil",2129.0,,,2252,-79,80,1964,0,3,2444,1500,,
penguingim1,penguingim1,GM,Andrew Tang,AQ,"miss the magnus titled arena era

For business inquiries: penguingm1@gmail.com

Princeton '23 ORFE

watch live at https://www.twitch.tv/penguingm1/
https://www.youtube.com/channel/UCcJxY7NovRrYCsxyl6qaFLA/
https://www.instagram.com/andrewtang1_/
https://discord.gg/penguingm1
https://twitter.com/penguingm1",2538.0,2616.0,,2770,-8,5187,2672,-47,237,3306,2578,,
Rashad2018,rashad2018,FM,,PS,https://www.youtube.com/channel/UCSc3aJm76ZcCu_aew9qtkuw/featured,,,,2034,-27,1917,2568,47,545,2198,1931,,
