Player,AvgRating,GamesCount,OpeningDiversity,Aggressiveness,Platform,Player_Sex
"Blit, Jacques",2505.5172413793102,58,3.47461951260132,0.5689655172413793,Lichess,M
"Blomqvist, Erik",2504.451612903226,62,3.202240644974979,0.5645161290322581,Lichess,M
"Bodek, Michael",2572.242424242424,66,3.355167374745539,0.5,Lichess,M
"Boe, Mads",2426.2985074626868,67,2.0445812037186366,0.4477611940298507,Lichess,M
"Bologan, Victor",2596.02752293578,109,3.632794592439561,0.4954128440366973,Lichess,M
"Boor, Carl",2419.8454545454547,220,3.935417034383266,0.4454545454545454,Lichess,M
"Boraso, Alessio",2422.7851772287863,931,3.9143725037587846,0.6047261009667024,Lichess,M
"Boros, Denes",2679.302536231884,552,3.853865790764189,0.4221014492753623,Lichess,M
"Bortnyk, Mykola",2482.25,12,1.8143075196071248,0.75,Lichess,M
"Boruchovsky, Avital",2579.1,10,2.163955656882057,0.3,Lichess,M
"Bouvier, Bruno",2410.108579088472,746,3.553890371485494,0.5254691689008043,Lichess,M
"Bouzidi, Ahmed",2359.0149625935164,401,2.9321216482561323,0.5062344139650873,Lichess,M
"Brancaleoni, Maurizio",2418.3376623376626,77,3.295950271841656,0.5064935064935064,Lichess,M
"Braun, Christian",2448.9158878504672,107,3.5106908447960383,0.6261682242990654,Lichess,M
"Brunello, Sabino",2484.0625,16,2.772588722239781,0.4375,Lichess,M
"Bryakin, Mikhail",2477.9701492537315,67,3.3372399094308585,0.373134328358209,Lichess,M
"Burcu, Cagatay",2384.153846153846,13,2.458311329683084,0.4615384615384615,Lichess,M
"Burmakin, Evgeniy",2390.1935483870966,31,2.997756703271982,0.4193548387096774,Lichess,M
"Bykov, Egor",2525.083333333333,36,2.803163733935407,0.5,Lichess,M
"Cabrera Pando, Ramiro",2420.894568690096,626,3.7689328820458914,0.4424920127795527,Lichess,M
"Camacho Collados, Jose",2483.546391752577,291,3.742519493241303,0.4432989690721649,Lichess,M
"Camacho Martinez, Guillermo",2428.858536585366,205,3.7919689868959,0.448780487804878,Lichess,M
"Campbell, Charles",2373.4405010438413,479,3.765363019190493,0.4321503131524008,Lichess,M
"Can, Melih Kaan",2347.90625,64,3.4127333965215563,0.390625,Lichess,M
"Canty, James",2427.71875,96,2.70265989228058,0.4270833333333333,Lichess,M
"Carlsson, Ludvig",2491.5348837209303,43,3.4667792012690795,0.3488372093023256,Lichess,M
"Carlstedt, Jonathan",2437.0,80,3.1789670829746965,0.375,Lichess,M
"Carnicelli, Valerio",2360.9375,16,2.393312122974524,0.5,Lichess,M
"Carvalho, Guillermo",2403.970588235294,68,2.441776748179897,0.1911764705882352,Lichess,M
"Caspi, Israel",2516.234567901234,162,3.93795545530216,0.4876543209876543,Lichess,M
"Castella Garcia, Fausto",2389.714285714286,189,3.3375549723066618,0.7142857142857143,Lichess,M
"Castillo Coca, Mairebis",2334.3611111111118,36,2.661742879219936,0.4166666666666667,Lichess,F
"Castro Torres, Jose Luis",2284.736842105264,19,2.5796246736085746,0.4210526315789473,Lichess,M
"Chandra, Akshat",2694.190476190476,483,4.587148272891293,0.3643892339544513,Lichess,M
"Cheng, Xiao",2448.8548387096776,62,3.5248308170473184,0.4354838709677419,Lichess,M
"Cheparinov, Ivan",2740.4024390243903,164,4.019840365918086,0.3841463414634146,Lichess,M
"Chernikov, Vladimir",2354.4,15,2.5232109529528914,0.0666666666666666,Lichess,M
"Chernomordik, Pavel",2363.833333333333,18,2.212256610922266,0.6666666666666666,Lichess,M
"Chernov, Mikhail",2388.735099337748,302,3.3873126482451648,0.5529801324503312,Lichess,M
"Chigaev, Maksim",2699.0344827586205,261,4.198470798268495,0.4406130268199233,Lichess,M
"Chizhikov, Vladislav",2472.9487951807228,332,3.677556552991809,0.4759036144578313,Lichess,M
"Christiansen, Johan-Sebastian",2557.75,60,3.369371673247415,0.45,Lichess,M
"Christie, Joshua",2514.38351822504,631,4.431914384367069,0.4215530903328051,Lichess,M
"Chumpitaz, Ann",2424.828244274809,262,3.891496714565845,0.5572519083969466,Lichess,F
"Chylewski, Patryk",2550.0872274143303,321,4.328657664245545,0.3582554517133956,Lichess,M
"Colovic, Dusan",2388.9767441860463,43,1.978604081121804,0.2093023255813953,Lichess,M
"Coro, Lucas",2403.610169491525,59,3.698483887158397,0.4406779661016949,Lichess,M
"Corvi, Marco",2282.3571428571427,14,2.540036303820981,0.3571428571428571,Lichess,M
"Cotonnec, Melkior",2435.0153846153844,65,2.682453782406018,0.4769230769230769,Lichess,M
"Crevatin, Leo",2404.1666666666665,12,2.484906649788001,0.75,Lichess,M
"Crispin Ferreras, Darvi Abraham",2272.3868613138684,137,3.666778300778568,0.4087591240875912,Lichess,M
"Cruz, Jonathan",2582.856707317073,328,1.1774548221982568,0.8201219512195121,Lichess,M
"Cupid, Kevin",2360.9066666666668,75,3.5759238542078267,0.4933333333333333,Lichess,M
"Daeschler, Florian",2422.181347150259,193,3.3415256554910164,0.3005181347150259,Lichess,M
"Danchevski, Orce",2447.705298013245,302,3.5931948800175526,0.3377483443708609,Lichess,M
"Daneshvar, Bardiya",2525.9166666666665,12,2.253857589601352,0.3333333333333333,Lichess,M
"Dann, Matthias",2510.731707317073,41,3.077742401906038,0.4878048780487805,Lichess,M
"Darini, Pouria",2522.61,100,3.461480323272921,0.45,Lichess,M
"Datu, Alcon John",2460.973154362416,149,3.8294542573011214,0.4295302013422818,Lichess,M
"De Prado Rodriguez, Oscar Bruno",2441.235294117647,17,1.152564616149156,0.2352941176470588,Lichess,M
"Dedebas, Emre Emin",2445.72,50,3.202777350473853,0.4,Lichess,M
"Delgadillo, Adonay",2414.659259259259,135,4.233425988131353,0.4148148148148148,Lichess,M
"Delgado Ramirez, Neuris",2543.1111111111118,36,3.1289368348758364,0.4722222222222222,Lichess,M
"Della Morte, Pablo",2407.375,16,2.512658529529802,0.625,Lichess,M
"Demidov, Mikhail",2648.169014084507,71,2.719304244596468,0.5352112676056338,Lichess,M
"Denisenko, Denis",2419.551724137931,261,1.9393571067812732,0.2950191570881226,Lichess,M
"Devaev, Alexander",2391.2692537313437,1675,3.8960373931107264,0.368955223880597,Lichess,M
"Di Benedetto, Edoardo",2483.669603524229,227,3.907409387967896,0.4625550660792951,Lichess,M
"Diaz Velandia, Jose Manuel",2592.137931034483,29,1.9431458588238968,0.0,Lichess,M
"Djordjevic, Vuk",2592.510067114094,596,3.5996035314195085,0.5637583892617449,Lichess,M
"Dodeja, Pawan",2455.298076923077,312,3.045028690815616,0.6282051282051282,Lichess,M
Dominique Myers,2306.0,20,2.579843965218023,0.7,Lichess,M
"Donchenko, Alexander",2594.309090909091,55,3.6354310517196056,0.2727272727272727,Lichess,M
"Doric, Darko",2616.0438667749795,2462,2.6856485644109984,0.661251015434606,Lichess,M
"Dorokhin, Mykhailo",2374.176470588235,17,2.3439329813080194,0.6470588235294118,Lichess,M
"Draskovic, Luka",2525.4310344827586,116,3.36301449365439,0.3879310344827586,Lichess,M
"Drozdowski, Kacper",2580.5454545454545,11,1.9722469794234416,0.2727272727272727,Lichess,M
"Drygalov, Andrey",2723.149606299213,254,3.662093127305488,0.4251968503937008,Lichess,M
"Dutina, Dario",2370.1990632318502,427,2.3422648692481154,0.5199063231850117,Lichess,M
"Dvirnyy, Danyyil",2670.05476673428,493,4.907535327950603,0.4381338742393509,Lichess,M
"Egorov, Evgeny",2555.047210300429,233,2.6209348331690823,0.4806866952789699,Lichess,M
"Eljanov, Pavel",2656.0,28,3.183672971483788,0.3214285714285714,Lichess,M
"Eminov, Orkhan",2465.8,35,2.8739572124896715,0.4,Lichess,M
"Ermolaev, Andrey",2479.2188270083784,2029,2.5727441141462872,0.1808772794480039,Lichess,M
"Ermolaev, Evgeny",2429.1428571428573,14,2.1439522006438696,0.5714285714285714,Lichess,M
"Ernst, Sipke",2488.5185185185187,27,2.8976680950647618,0.2222222222222222,Lichess,M
"Ertan, Can",2488.24011299435,354,3.2040066581282733,0.4491525423728814,Lichess,M
"Esipenko, Andrey",2589.0,14,2.540036303820981,0.2142857142857142,Lichess,M
"Espinosa Veloz, Ermes",2484.9945945945947,185,3.7683348497279128,0.5027027027027027,Lichess,M
"Euler, Gerd",2421.117021276596,470,4.756411535476351,0.4212765957446808,Lichess,M
"Eynullayev, Altay",2408.3846153846152,13,2.20478541691352,0.2307692307692307,Lichess,M
"FAWOLE, John Oyeyemi",2281.276923076923,65,3.2103408105669065,0.1538461538461538,Lichess,M
"Falcon, Benjamin",2503.261855670103,485,4.518062006332667,0.422680412371134,Lichess,M
"Fawzy, Adham",2494.722222222222,18,2.505289990918418,0.7222222222222222,Lichess,M
"Fedoseev, Vladimir",2636.24,50,3.586108320231188,0.42,Lichess,M
"Fernandez Mazzetti, Ignacio",2417.852534562212,217,3.5256683528921613,0.2396313364055299,Lichess,M
"Fernandez, Daniel",2579.5583333333334,240,3.208593761248277,0.3,Lichess,M
"Fichter, Fabian",2261.4,10,1.6957425341696346,0.8,Lichess,M
"Fier, Alexandr",2607.019841269841,252,4.46821879237582,0.4722222222222222,Lichess,M
"Firstov, Juri",2423.9411764705883,17,0.2237180760658337,1.0,Lichess,M
"Flynn, Jacob",2255.3809523809523,21,2.6895357734679943,0.2857142857142857,Lichess,M
"Fominykh, Maria",2342.818181818182,11,2.1458417525947544,0.6363636363636364,Lichess,F
"Fridman, Daniel",2591.9166666666665,12,2.210253577620973,0.5833333333333334,Lichess,M
"Gabdrakhmanov, Azat",2409.9333333333334,45,3.06924164238138,0.4888888888888889,Lichess,M
"Gabuzyan, Hovhannes",2609.318181818182,44,3.0987651368490163,0.5,Lichess,M
"Gadimbayli, Abdulla",2699.784615384616,130,3.1666601381800805,0.4461538461538462,Lichess,M
"Gaitan, Juan Manuel",2435.266666666667,15,2.2459520807289133,0.2,Lichess,M
"Galaktionov, Artem",2631.7841726618703,139,3.2872155095894704,0.3525179856115107,Lichess,M
"Galchenko, Matvey",2618.587912087912,182,3.3112146385847945,0.2912087912087912,Lichess,M
"Garcia Cardenas, Pablo",2540.5301204819275,249,4.185516670162779,0.3654618473895582,Lichess,M
"Garcia, Jan Emmanuel",2557.257575757576,66,2.592297522026281,0.0757575757575757,Lichess,M
"Gareyev, Timur",2488.590909090909,22,2.902002313205604,0.5454545454545454,Lichess,M
"Gasimov, Parviz",2388.128048780488,164,3.820622140551368,0.573170731707317,Lichess,M
"Gattass, Allan",2431.921760391198,818,4.589371991532958,0.4877750611246944,Lichess,M
"Gavarrete, Nahun",2390.575757575757,33,3.1445801968384903,0.5454545454545454,Lichess,M
"Gazic, Josip",2281.3939393939395,33,2.784996118900933,0.6060606060606061,Lichess,M
"Gedajlovic, Max",2519.9498069498068,259,3.098983282278708,0.1428571428571428,Lichess,M
"Geivondian, Arman",2447.204778156997,586,3.5850453778815314,0.447098976109215,Lichess,M
"Gelman, Alexander",2460.454545454545,319,3.562254183361645,0.2821316614420062,Lichess,M
"Genocchio, Daniele",2461.1803921568626,1020,4.42769396534316,0.3803921568627451,Lichess,M
"Gerasimenyuk, Mikhail",2382.871794871795,39,2.1191967946496844,0.5128205128205128,Lichess,M
"Ghane, Shojaat",2345.923076923077,13,2.351673301904631,0.3846153846153846,Lichess,M
"Gheng, Josef",2421.1345454545453,825,4.209878602899664,0.4303030303030303,Lichess,M
"Ghersinich, Enrico",2430.631188118812,404,3.897241252600469,0.4653465346534653,Lichess,M
"Ghorbani, Hadi",2419.513029315961,614,3.864309068153596,0.4918566775244299,Lichess,M
"Giannatos, Peter",2428.1115384615387,260,3.837427975777447,0.5269230769230769,Lichess,M
"Gilevych, Artem",2471.9418604651164,172,4.03045258513668,0.377906976744186,Lichess,M
"Gimenez Aguirre, Alejo Ismael",2407.575757575757,33,2.7870937391749315,0.5757575757575758,Lichess,M
"Ginsburg, Gennadi",2433.470588235294,187,4.166013160897071,0.3903743315508021,Lichess,M
"Givon, Asaf",2541.804162724693,2114,4.2255965464650105,0.4687795648060548,Lichess,M
"Gnojek, Petr",2336.6666666666665,18,2.659322697709517,0.3888888888888889,Lichess,M
"Golizadeh, Asghar",2664.10970464135,237,4.096192502405112,0.430379746835443,Lichess,M
"Golubev, Mikhail",2495.561797752809,178,3.342750455078494,0.4662921348314606,Lichess,M
"Golubka, Petro",2567.955990220049,409,4.672113559453109,0.4058679706601467,Lichess,M
"Gomez Sanchez, Jorge Marcos",2478.3286384976527,213,3.3759963349886983,0.5305164319248826,Lichess,M
"Gomez, Carlos David",2484.431654676259,1112,4.583488458806508,0.4334532374100719,Lichess,M
"Gongora Montes, Benjamin",2359.0526315789475,38,1.6542904076499254,0.631578947368421,Lichess,M
"Gordievsky, Dmitry",2595.406976744186,86,3.1666211299357663,0.3488372093023256,Lichess,M
"Gorodetzky, David",2646.7166666666667,120,3.836371266415144,0.4333333333333333,Lichess,M
"Grabinsky, Joshua",2507.883333333333,60,2.940366387338377,0.5166666666666667,Lichess,M
"Graif, William",2442.1176470588234,187,2.620585028466824,0.427807486631016,Lichess,M
"Grigorov, Grigor",2689.174603174604,126,3.3325762808130444,0.2539682539682539,Lichess,M
"Grigoryan, Karen",2736.224,125,3.340920736245302,0.448,Lichess,M
"Grinev, Valeriy",2612.3414634146343,41,3.314426805024068,0.4146341463414634,Lichess,M
"Grishchenko, Sergey",2577.1491935483878,248,3.363230300519985,0.5,Lichess,M
"Gschnitzer, Adrian",2502.1451612903224,62,2.487960128961021,0.7258064516129032,Lichess,M
"Guven, Oguz Kagan",2443.42,250,3.946759438506464,0.372,Lichess,M
"Guzman, Christopher",2485.451834862385,436,3.707836127696599,0.5206422018348624,Lichess,M
"Gwaze, Robert",2555.457551385165,1119,4.157857469247827,0.4253798033958892,Lichess,M
"Hacker, Jonas",2402.2363636363634,55,3.294912417019663,0.4181818181818181,Lichess,M
"Hadzovic, Amir",2379.766081871345,171,2.584650323802242,0.5672514619883041,Lichess,M
"Hafiz, Arif Abdul",2683.620606060606,825,3.492883044012446,0.6012121212121212,Lichess,M
"Hajiyev, Kanan",2389.9271844660198,412,3.762125200826784,0.2815533980582524,Lichess,M
"Hansen, Eric",2717.049645390071,141,3.9164957942017264,0.5460992907801419,Lichess,M
"Hapaku, Charles",2367.1533018867926,424,3.9976007354571297,0.2924528301886792,Lichess,M
Harsha Bharathakoti,2596.3,50,3.239263709283648,0.46,Lichess,M
"Hartge, Gedeon",2405.2820512820517,78,3.3756067309515614,0.4487179487179487,Lichess,M
"Haub, Thorsten Michael",2458.866666666667,15,0.7201248812718097,0.1333333333333333,Lichess,M
"Haug, Johannes",2417.6,45,3.001615746230521,0.5111111111111111,Lichess,M
"Hauge, Lars Oskar",2466.2792792792798,111,3.380946045186502,0.4864864864864865,Lichess,M
"Haussernot, Cecile",2520.333333333333,21,2.9785084205272367,0.6666666666666666,Lichess,F
"Hemam, Moulaye Brahim",2255.0222222222224,45,2.7570995605730984,0.5777777777777777,Lichess,M
"Herrera, Martin",2256.275641025641,156,3.6916954137081937,0.2628205128205128,Lichess,M
"Hertneck, Gerald",2458.783505154639,97,3.5197993241896715,0.2371134020618556,Lichess,M
"Hesham, Abdelrahman",2532.689045936396,283,3.963501159085512,0.4770318021201413,Lichess,M
"Hirneise, Jens",2504.3655287260617,1201,4.219771298076174,0.511240632805995,Lichess,M
"Hnydiuk, Aleksander",2420.366666666667,30,3.1064969046460256,0.4333333333333333,Lichess,M
"Hopman, Pieter",2446.939393939394,132,3.8732640386941455,0.3181818181818182,Lichess,M
"Hossain, Enamul",2430.910714285714,112,3.990535570643945,0.4285714285714285,Lichess,M
"Hosseinzadeh, Nima",2442.266990291262,206,3.828196538316259,0.5048543689320388,Lichess,M
Hou Ji Yao,2410.7848837209303,172,3.4185331843458515,0.4941860465116279,Lichess,M
"Hua, Eugene",2322.0,10,2.025326220770068,0.2,Lichess,M
"Hulka, Valentyn",2392.439393939394,66,3.2074254106560005,0.5606060606060606,Lichess,M
"Hungaski, Robert",2615.4656084656085,756,4.563383589753372,0.4365079365079365,Lichess,M
Hunter Klotz-Burwell,2506.680365296804,219,3.300307502655169,0.3105022831050228,Lichess,M
"Husbands, Orlando",2474.912114014252,421,4.052763889946242,0.5083135391923991,Lichess,M
"Huschenbeth, Niclas",2473.3846153846152,13,2.20478541691352,0.2307692307692307,Lichess,M
"Ibrayev, Nurlan",2499.5481927710844,332,4.508450094502042,0.358433734939759,Lichess,M
"Idani, Pouya",2598.9,20,2.7616257121977803,0.4,Lichess,M
"Indjic, Aleksandar",2747.57345971564,211,4.413304483521031,0.4881516587677725,Lichess,M
"Irizanin, Radoje",2360.007299270073,137,2.471608202251785,0.2992700729927007,Lichess,M
"Isajevsky, Anton",2501.3375,80,3.163228772742152,0.2375,Lichess,M
"Iskandarov, Misratdin",2599.821052631579,95,3.852419492973664,0.5473684210526316,Lichess,M
"Ivanisevic, Ivan",2535.4666666666667,15,2.488327743368588,0.4666666666666667,Lichess,M
"Ivic, Matija",2495.409090909091,22,2.536220969470581,0.3181818181818182,Lichess,M
"Ivlev, Aleksey",2591.192307692308,286,4.308335913342036,0.3706293706293706,Lichess,M
"Jacobsen, Mikkel Manosri",2365.2927927927926,222,3.606882818210375,0.3468468468468468,Lichess,M
"Jaferian, Koosha",2371.719298245614,57,1.413476521291145,0.4035087719298245,Lichess,M
"Jahnz, Fabian",2352.333333333333,12,1.8200759753606215,0.1666666666666666,Lichess,M
"Janik, Igor",2439.3474576271187,118,3.760749119719087,0.4830508474576271,Lichess,M
"Jaracz, Pawel",2513.1428571428573,35,3.1443140113476007,0.4857142857142857,Lichess,M
"Jarmula, Lukasz",2552.7618069815194,1461,4.543355609211735,0.4982888432580424,Lichess,M
"Javakhishvili, Lela",2429.620689655173,29,2.98486979933271,0.4482758620689655,Lichess,F
Javier Benitez,2470.9,10,1.9730014063936128,0.3,Lichess,M
"Jegorovas, Aleksandras",2417.4809160305344,262,3.988346193335756,0.3816793893129771,Lichess,M
"Jere, Daniel",2577.993079584775,289,2.1177670459827587,0.0,Lichess,M
Jesús González Mata,2382.106382978724,141,3.1797646569368743,0.4042553191489361,Lichess,M
"Jocev, Milan",2447.0,22,2.5992343495214847,0.5,Lichess,M
"Jorquera, Marcelo",2362.233333333333,30,2.213006287732542,0.6,Lichess,M
Josè Rafael Sequera Paolini,2395.848214285714,112,3.1780569652042634,0.4821428571428571,Lichess,F
"Jovic, Stevan",2415.159284497445,2348,3.98392773228922,0.4092844974446337,Lichess,M
"Juhasz, Armin",2540.409523809524,315,4.107306957882385,0.4095238095238095,Lichess,M
"Jumabayev, Rinat",2543.090909090909,22,2.752191546569044,0.4545454545454545,Lichess,M
"Kalantaryan, Norayr",2528.9526627218934,169,3.486094541679972,0.4023668639053254,Lichess,M
"Kalvaitis, Sigitas",2480.88344988345,429,3.4565606891800424,0.4778554778554778,Lichess,M
"Kamalsyah, Muhammad",2388.714285714286,14,2.540036303820981,0.4285714285714285,Lichess,M
"Kandil, Adham",2437.875,56,3.451468800646342,0.5178571428571429,Lichess,M
"Kantans, Toms",2528.57880055788,717,3.934579971115205,0.4393305439330544,Lichess,M
"Kanyamarala, Tarun",2380.214285714286,14,2.242973226438147,0.8571428571428571,Lichess,M
"Kapitanchuk, Tomas",2423.6666666666665,30,2.904216051704555,0.5,Lichess,M
"Karas, Marek",2354.7027027027025,37,2.950346309190239,0.3513513513513513,Lichess,M
"Karim, Ismael",2467.9485094850947,738,3.84796630306716,0.5176151761517616,Lichess,M
"Karimov, Farukh",2412.266666666667,30,2.884467064611005,0.3333333333333333,Lichess,M
"Karttunen, Mika",2534.88271068636,1151,4.522685186923628,0.4317984361424848,Lichess,M
"Kashtanov, Ruslan",2460.1428571428573,91,3.4030489044075445,0.4945054945054945,Lichess,M
"Kavyev, Ruslan",2422.5806451612902,31,3.031514648030985,0.2258064516129032,Lichess,M
"Kazakov, Konstantin",2489.7272727272725,99,2.611686216949262,0.1919191919191919,Lichess,M
"Kezin, Roman",2621.841628959276,221,3.718370628779232,0.3891402714932127,Lichess,M
"Khairat, Ahmed",2331.456,750,3.5249624649758013,0.7133333333333334,Lichess,M
"Khanin, Semen",2572.9489795918366,98,3.972245242573176,0.5,Lichess,M
"Khlebovich, Alexander",2679.225,1640,3.915001784314759,0.2890243902439024,Lichess,M
"Khodabandeh, Milad",2356.296296296296,27,2.8657034203478973,0.5185185185185185,Lichess,M
